2026-03-22 20:55:21,514 | INFO | pipeline.cli_runner | CLI_PIPELINE_AUDIO_INPUT: path=audio/2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a extension=.m4a
2026-03-22 20:55:21,515 | INFO | pipeline.meeting_pipeline | Start meeting pipeline: audio/2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a
2026-03-22 20:55:21,515 | INFO | utils.file_parser | AUDIO_FILENAME_PARSE_SUCCESS: path=audio/2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a extension=.m4a meeting_info={'date': '2026_0316', 'customer_name': 'NRE', 'meeting_title': '物流事業部・川口様_部門特化研修について'}
2026-03-22 20:55:21,515 | INFO | audio.audio_loader | AUDIO_LOADER_START: path=audio/2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a supported_extensions=.m4a,.wav
2026-03-22 20:55:21,515 | INFO | audio.audio_loader | AUDIO_LOADER_SUCCESS: path=C:\Automation｜meeting-minutes-ai\audio\2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a extension=.m4a
2026-03-22 20:55:21,515 | INFO | pipeline.meeting_pipeline | Audio loaded: C:\Automation｜meeting-minutes-ai\audio\2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a
2026-03-22 20:55:21,566 | INFO | utils.logger | Audio duration 3508.80 sec exceeds limit. Using split transcription: C:\Automation｜meeting-minutes-ai\audio\2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a
2026-03-22 20:55:21,567 | INFO | utils.logger | Splitting large audio file via ffmpeg: C:\Automation｜meeting-minutes-ai\audio\2026_0316_NRE_物流事業部・川口様_部門特化研修について.m4a
2026-03-22 20:55:21,601 | INFO | utils.logger | WHISPER_SPLIT_PLAN: duration_sec=3508.8 total_bytes=57569752 chunk_sec=300.0 max_chunk_seconds=300.0
2026-03-22 20:55:21,601 | INFO | utils.logger | WHISPER_SPLIT_RESUME_STATE: total_chunks_estimate=12 resume_chunk_index=0 cached_chunks=0 max_chunks_per_run=2
2026-03-22 20:55:21,603 | INFO | utils.logger | WHISPER_SPLIT_DEFER_GATE: current_chunk_index=0 processed_chunks_this_run=0 max_chunks_per_run=2 defer_condition=False
2026-03-22 20:55:21,603 | INFO | utils.logger | WHISPER_SPLIT_CHUNK_START: chunk_index=0 start_sec=0.00 end_sec=300.00 start_min=0.00 end_min=5.00
2026-03-22 20:55:21,808 | INFO | utils.logger | Transcribing split chunk 0: C:\Users\AIHARA~1\AppData\Local\Temp\tmpf0ryce2p\split_chunk_0.wav
2026-03-22 20:55:21,808 | INFO | utils.logger | WHISPER_PRE_SEND split_chunk path=C:\Users\AIHARA~1\AppData\Local\Temp\tmpf0ryce2p\split_chunk_0.wav exists=True size_bytes=9600078 extension=.wav
2026-03-22 20:55:22,276 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/audio/transcriptions', 'headers': {'Content-Type': 'multipart/form-data'}, 'files': [('file', SerializationIterator(index=0, iterator=SerializationIterator(index=0, iterator=<_io.BufferedReader name='C:\\Users\\AIHARA~1\\AppData\\Local\\Temp\\tmpf0ryce2p\\split_chunk_0.wav'>)))], 'idempotency_key': 'stainless-python-retry-a510887b-9994-48d9-a2a8-ec198a08394c', 'content': None, 'json_data': {'model': 'gpt-4o-transcribe', 'language': 'ja'}}
2026-03-22 20:55:22,547 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/audio/transcriptions
2026-03-22 20:55:22,548 | DEBUG | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-22 20:55:22,596 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001DEE33FA270>
2026-03-22 20:55:22,596 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001DEE2CADB50> server_hostname='api.openai.com' timeout=5.0
2026-03-22 20:55:22,611 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001DEE32F3ED0>
2026-03-22 20:55:22,612 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 20:55:22,612 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 20:55:22,612 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 20:55:22,942 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 20:55:22,942 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 20:55:36,724 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sun, 22 Mar 2026 11:55:37 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'user-xn8fz0u2hb5knygvwcsupofc'), (b'openai-processing-ms', b'9795'), (b'openai-project', b'proj_FUL9LdVkglysUbjr53vHaqJY'), (b'openai-version', b'2020-10-01'), (b'Server', b'cloudflare'), (b'x-ratelimit-limit-requests', b'500'), (b'x-ratelimit-remaining-requests', b'499'), (b'x-ratelimit-reset-requests', b'120ms'), (b'x-request-id', b'req_4d87285bdb6d46bab3d971006c77e30b'), (b'x-openai-proxy-wasm', b'v0.1'), (b'cf-cache-status', b'DYNAMIC'), (b'set-cookie', b'__cf_bm=ZxiONYpuEUYgS4KYMNku1Aeu8V8bqdxdZ8k.oK7dziw-1774180523.7844567-1.0.1.1-Wc5AcO_OgtdAAFehS0jM227b26zBuV8WRMW1661XTJfjXhgZU8_8cEPnNvZcAVSbZS_ZpU3d0wBbkEahmJuCpdM2.3F_uokV2M35zABif5EC8JdcqHKLoKN5.3m5mdP3; HttpOnly; Secure; Path=/; Domain=api.openai.com; Expires=Sun, 22 Mar 2026 12:25:37 GMT'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'9e0501d1aa01af2b-NRT'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-03-22 20:55:36,725 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/audio/transcriptions "HTTP/1.1 200 OK"
2026-03-22 20:55:36,725 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 20:55:36,726 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 20:55:36,726 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 20:55:36,726 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 20:55:36,726 | DEBUG | openai._base_client | HTTP Response: POST https://api.openai.com/v1/audio/transcriptions "200 OK" Headers({'date': 'Sun, 22 Mar 2026 11:55:37 GMT', 'content-type': 'application/json', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'access-control-expose-headers': 'X-Request-ID', 'openai-organization': 'user-xn8fz0u2hb5knygvwcsupofc', 'openai-processing-ms': '9795', 'openai-project': 'proj_FUL9LdVkglysUbjr53vHaqJY', 'openai-version': '2020-10-01', 'server': 'cloudflare', 'x-ratelimit-limit-requests': '500', 'x-ratelimit-remaining-requests': '499', 'x-ratelimit-reset-requests': '120ms', 'x-request-id': 'req_4d87285bdb6d46bab3d971006c77e30b', 'x-openai-proxy-wasm': 'v0.1', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=ZxiONYpuEUYgS4KYMNku1Aeu8V8bqdxdZ8k.oK7dziw-1774180523.7844567-1.0.1.1-Wc5AcO_OgtdAAFehS0jM227b26zBuV8WRMW1661XTJfjXhgZU8_8cEPnNvZcAVSbZS_ZpU3d0wBbkEahmJuCpdM2.3F_uokV2M35zABif5EC8JdcqHKLoKN5.3m5mdP3; HttpOnly; Secure; Path=/; Domain=api.openai.com; Expires=Sun, 22 Mar 2026 12:25:37 GMT', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'content-encoding': 'gzip', 'cf-ray': '9e0501d1aa01af2b-NRT', 'alt-svc': 'h3=":443"; ma=86400'})
2026-03-22 20:55:36,726 | DEBUG | openai._base_client | request_id: req_4d87285bdb6d46bab3d971006c77e30b
2026-03-22 20:55:36,730 | INFO | utils.logger | WHISPER_SPLIT_POST_CHUNK_GATE: current_chunk_index=0 processed_chunks_this_run=1 max_chunks_per_run=2 next_chunk_index=1 defer_condition=False
2026-03-22 20:55:36,731 | INFO | utils.logger | WHISPER_SPLIT_CHUNK_DONE: chunk_index=0 processed_until_sec=300.00 processed_until_min=5.00
2026-03-22 20:55:36,731 | INFO | utils.logger | WHISPER_SPLIT_DEFER_GATE: current_chunk_index=1 processed_chunks_this_run=1 max_chunks_per_run=2 defer_condition=False
2026-03-22 20:55:36,731 | INFO | utils.logger | WHISPER_SPLIT_CHUNK_START: chunk_index=1 start_sec=300.00 end_sec=600.00 start_min=5.00 end_min=10.00
2026-03-22 20:55:36,941 | INFO | utils.logger | Transcribing split chunk 1: C:\Users\AIHARA~1\AppData\Local\Temp\tmpf0ryce2p\split_chunk_1.wav
2026-03-22 20:55:36,942 | INFO | utils.logger | WHISPER_PRE_SEND split_chunk path=C:\Users\AIHARA~1\AppData\Local\Temp\tmpf0ryce2p\split_chunk_1.wav exists=True size_bytes=9600078 extension=.wav
2026-03-22 20:55:36,942 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/audio/transcriptions', 'headers': {'Content-Type': 'multipart/form-data'}, 'files': [('file', SerializationIterator(index=0, iterator=SerializationIterator(index=0, iterator=<_io.BufferedReader name='C:\\Users\\AIHARA~1\\AppData\\Local\\Temp\\tmpf0ryce2p\\split_chunk_1.wav'>)))], 'idempotency_key': 'stainless-python-retry-06aceadd-0cd1-432c-88ff-d5692f9eeb92', 'content': None, 'json_data': {'model': 'gpt-4o-transcribe', 'language': 'ja'}}
2026-03-22 20:55:36,943 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/audio/transcriptions
2026-03-22 20:55:36,943 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 20:55:36,943 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 20:55:36,943 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 20:55:37,079 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 20:55:37,079 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 20:55:51,596 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Sun, 22 Mar 2026 11:55:52 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'user-xn8fz0u2hb5knygvwcsupofc'), (b'openai-processing-ms', b'10365'), (b'openai-project', b'proj_FUL9LdVkglysUbjr53vHaqJY'), (b'openai-version', b'2020-10-01'), (b'Server', b'cloudflare'), (b'x-ratelimit-limit-requests', b'500'), (b'x-ratelimit-remaining-requests', b'499'), (b'x-ratelimit-reset-requests', b'120ms'), (b'x-request-id', b'req_42704700fa8a46d6a3a166757d7e235a'), (b'x-openai-proxy-wasm', b'v0.1'), (b'cf-cache-status', b'DYNAMIC'), (b'X-Content-Type-Options', b'nosniff'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'9e05022b3bb5af2b-NRT'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-03-22 20:55:51,597 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/audio/transcriptions "HTTP/1.1 200 OK"
2026-03-22 20:55:51,597 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 20:55:51,598 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 20:55:51,598 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 20:55:51,598 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 20:55:51,598 | DEBUG | openai._base_client | HTTP Response: POST https://api.openai.com/v1/audio/transcriptions "200 OK" Headers({'date': 'Sun, 22 Mar 2026 11:55:52 GMT', 'content-type': 'application/json', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'access-control-expose-headers': 'X-Request-ID', 'openai-organization': 'user-xn8fz0u2hb5knygvwcsupofc', 'openai-processing-ms': '10365', 'openai-project': 'proj_FUL9LdVkglysUbjr53vHaqJY', 'openai-version': '2020-10-01', 'server': 'cloudflare', 'x-ratelimit-limit-requests': '500', 'x-ratelimit-remaining-requests': '499', 'x-ratelimit-reset-requests': '120ms', 'x-request-id': 'req_42704700fa8a46d6a3a166757d7e235a', 'x-openai-proxy-wasm': 'v0.1', 'cf-cache-status': 'DYNAMIC', 'x-content-type-options': 'nosniff', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'content-encoding': 'gzip', 'cf-ray': '9e05022b3bb5af2b-NRT', 'alt-svc': 'h3=":443"; ma=86400'})
2026-03-22 20:55:51,598 | DEBUG | openai._base_client | request_id: req_42704700fa8a46d6a3a166757d7e235a
2026-03-22 20:55:51,599 | INFO | utils.logger | WHISPER_SPLIT_POST_CHUNK_GATE: current_chunk_index=1 processed_chunks_this_run=2 max_chunks_per_run=2 next_chunk_index=2 defer_condition=True
2026-03-22 20:55:51,601 | INFO | utils.logger | WHISPER_SPLIT_CHUNK_DONE: chunk_index=1 processed_until_sec=600.00 processed_until_min=10.00
2026-03-22 20:55:51,601 | INFO | utils.logger | WHISPER_SPLIT_DEFER_GATE: current_chunk_index=2 processed_chunks_this_run=2 max_chunks_per_run=2 defer_condition=True
2026-03-22 20:55:51,602 | INFO | utils.logger | WHISPER_SPLIT_DEFER_TRIGGER: current_chunk_index=2 processed_chunks_this_run=2 max_chunks_per_run=2 next_chunk_index=2
